Timestamp,HR,RR,unix_time
2023/11/4 19:14:23,89,0.677,1699125263.0
2023/11/4 19:14:24,88,0.687,1699125264.0
2023/11/4 19:14:25,88,0.693,1699125265.0
2023/11/4 19:14:26,88,0.681,1699125266.0
2023/11/4 19:14:27,88,0.663,1699125267.0
2023/11/4 19:14:28,88,0.649,1699125268.0
2023/11/4 19:14:29,89,0.635,1699125269.0
2023/11/4 19:14:30,90,0.631,1699125270.0
2023/11/4 19:14:31,91,0.645,1699125271.0
2023/11/4 19:14:32,92,0.645,1699125272.0
2023/11/4 19:14:33,92,0.654,1699125273.0
2023/11/4 19:14:34,92,0.653,1699125274.0
2023/11/4 19:14:35,92,0.661,1699125275.0
2023/11/4 19:14:36,92,0.656,1699125276.0
2023/11/4 19:14:37,92,0.645,1699125277.0
2023/11/4 19:14:38,92,0.648,1699125278.0
2023/11/4 19:14:39,92,0.649,1699125279.0
2023/11/4 19:14:40,92,0.655,1699125280.0
2023/11/4 19:14:41,92,0.663,1699125281.0
2023/11/4 19:14:51,90,0.652,1699125291.0
2023/11/4 19:14:52,91,0.66,1699125292.0
2023/11/4 19:14:53,91,0.659,1699125293.0
2023/11/4 19:14:54,91,0.65,1699125294.0
2023/11/4 19:14:55,91,0.652,1699125295.0
2023/11/4 19:14:56,91,0.649,1699125296.0
2023/11/4 19:14:57,91,0.653,1699125297.0
2023/11/4 19:14:58,91,0.67,1699125298.0
2023/11/4 19:14:59,91,0.665,1699125299.0
2023/11/4 19:15:00,91,0.667,1699125300.0
2023/11/4 19:15:01,91,0.673,1699125301.0
2023/11/4 19:15:02,91,0.659,1699125302.0
2023/11/4 19:15:03,91,0.641,1699125303.0
2023/11/4 19:15:04,91,0.632,1699125304.0
2023/11/4 19:15:05,92,0.616,1699125305.0
2023/11/4 19:15:06,93,0.615,1699125306.0
2023/11/4 19:15:07,94,0.617,1699125307.0
2023/11/4 19:15:08,95,0.614,1699125308.0
2023/11/4 19:15:09,96,0.614,1699125309.0
2023/11/4 19:15:10,97,0.604,1699125310.0
2023/11/4 19:15:11,97,0.605,1699125311.0
2023/11/4 19:15:12,98,0.598,1699125312.0
2023/11/4 19:15:13,99,0.604,1699125313.0
2023/11/4 19:15:14,99,0.609,1699125314.0
2023/11/4 19:15:15,99,0.611,1699125315.0
2023/11/4 19:15:16,98,0.641,1699125316.0
2023/11/4 19:15:17,98,0.651,1699125317.0
2023/11/4 19:15:18,96,0.675,1699125318.0
2023/11/4 19:15:19,95,0.667,1699125319.0
2023/11/4 19:15:20,93,0.646,1699125320.0
2023/11/4 19:15:21,93,0.661,1699125321.0
2023/11/4 19:15:22,93,0.671,1699125322.0
2023/11/4 19:15:23,92,0.705,1699125323.0
2023/11/4 19:15:24,91,0.718,1699125324.0
2023/11/4 19:15:25,89,0.737,1699125325.0
2023/11/4 19:15:26,88,0.736,1699125326.0
2023/11/4 19:15:27,87,0.734,1699125327.0
2023/11/4 19:15:28,86,0.732,1699125328.0
2023/11/4 19:15:29,85,0.726,1699125329.0
2023/11/4 19:15:30,85,0.705,1699125330.0
2023/11/4 19:15:31,85,0.692,1699125331.0
2023/11/4 19:15:32,85,0.695,1699125332.0
2023/11/4 19:15:33,85,0.705,1699125333.0
2023/11/4 19:15:34,85,0.713,1699125334.0
2023/11/4 19:15:35,85,0.719,1699125335.0
2023/11/4 19:15:36,85,0.714,1699125336.0
2023/11/4 19:15:37,85,0.696,1699125337.0
2023/11/4 19:15:38,85,0.686,1699125338.0
2023/11/4 19:15:39,85,0.682,1699125339.0
2023/11/4 19:15:40,86,0.673,1699125340.0
2023/11/4 19:15:41,86,0.673,1699125341.0
2023/11/4 19:15:42,87,0.678,1699125342.0
2023/11/4 19:15:43,87,0.684,1699125343.0
2023/11/4 19:15:44,87,0.692,1699125344.0
2023/11/4 19:15:45,87,0.693,1699125345.0
2023/11/4 19:15:46,87,0.69,1699125346.0
2023/11/4 19:15:47,87,0.671,1699125347.0
2023/11/4 19:15:48,87,0.659,1699125348.0
2023/11/4 19:15:49,88,0.653,1699125349.0
2023/11/4 19:15:50,89,0.649,1699125350.0
2023/11/4 19:15:51,90,0.657,1699125351.0
2023/11/4 19:15:52,90,0.676,1699125352.0
2023/11/4 19:15:53,90,0.686,1699125353.0
2023/11/4 19:15:54,89,0.684,1699125354.0
2023/11/4 19:15:55,89,0.688,1699125355.0
2023/11/4 19:15:56,89,0.688,1699125356.0
2023/11/4 19:15:57,88,0.687,1699125357.0
